scenario,proportion,method,predictor,seed,top1_acc,top3_acc,top5_acc
MCAR,0.3,DiffPuter,knn,0,0.3108695652173913,0.7021739130434783,0.8565217391304348
MCAR,0.3,DiffPuter,mlp,0,0.09565217391304348,0.1956521739130435,0.26956521739130435
MCAR,0.3,GRAPE,knn,0,0.29782608695652174,0.6739130434782609,0.8195652173913044
MCAR,0.3,GRAPE,mlp,0,0.0891304347826087,0.20217391304347826,0.2891304347826087
MCAR,0.5,DropMissing,knn,0,,,
MCAR,0.5,DropMissing,mlp,0,,,
MCAR,0.5,Mean,knn,0,0.25217391304347825,0.6347826086956522,0.7956521739130434
MCAR,0.5,Mean,mlp,0,0.06304347826086956,0.17173913043478262,0.22826086956521738
MCAR,0.5,kNN,knn,0,0.2956521739130435,0.6760869565217391,0.8239130434782609
MCAR,0.5,kNN,mlp,0,0.07391304347826087,0.20434782608695654,0.26956521739130435
MCAR,0.5,MICE,knn,0,0.27391304347826084,0.6565217391304348,0.808695652173913
MCAR,0.5,MICE,mlp,0,0.08478260869565217,0.1934782608695652,0.25869565217391305
MCAR,0.5,SoftImpute,knn,0,0.25869565217391305,0.6565217391304348,0.8152173913043478
MCAR,0.5,SoftImpute,mlp,0,0.07391304347826087,0.17391304347826086,0.25
MCAR,0.5,HyperImpute,knn,0,0.3,0.7108695652173913,0.8456521739130435
MCAR,0.5,HyperImpute,mlp,0,0.09565217391304348,0.1782608695652174,0.2565217391304348
MCAR,0.5,DiffPuter,knn,0,0.25869565217391305,0.6673913043478261,0.8108695652173913
MCAR,0.5,DiffPuter,mlp,0,0.06086956521739131,0.1891304347826087,0.27608695652173915
MCAR,0.5,GRAPE,knn,0,0.24782608695652175,0.6739130434782609,0.8195652173913044
MCAR,0.5,GRAPE,mlp,0,0.08260869565217391,0.17173913043478262,0.22608695652173913
MAR,0.1,DropMissing,knn,0,0.14130434782608695,0.30434782608695654,0.3869565217391304
MAR,0.1,DropMissing,mlp,0,0.0391304347826087,0.08260869565217391,0.13695652173913042
MAR,0.1,Mean,knn,0,0.2847826086956522,0.6891304347826087,0.8543478260869565
MAR,0.1,Mean,mlp,0,0.0782608695652174,0.17391304347826086,0.25217391304347825
MAR,0.1,kNN,knn,0,0.2847826086956522,0.7043478260869566,0.8565217391304348
MAR,0.1,kNN,mlp,0,0.08478260869565217,0.18695652173913044,0.2717391304347826
MAR,0.1,MICE,knn,0,0.2956521739130435,0.7065217391304348,0.8717391304347826
MAR,0.1,MICE,mlp,0,0.08043478260869565,0.17173913043478262,0.23478260869565218
MAR,0.1,SoftImpute,knn,0,0.29782608695652174,0.7,0.8630434782608696
MAR,0.1,SoftImpute,mlp,0,0.0782608695652174,0.16304347826086957,0.25869565217391305
MAR,0.1,HyperImpute,knn,0,0.3,0.7086956521739131,0.8695652173913043
MAR,0.1,HyperImpute,mlp,0,0.08478260869565217,0.16956521739130434,0.23695652173913043
