mechanism,proportion,method,n_folds,cached,secs,n_runs,top1_acc,top1_acc_std,top2_acc,top2_acc_std,top3_acc,top3_acc_std,top4_acc,top4_acc_std,top5_acc,top5_acc_std
MCAR,0.3,mice,True,1,187.2,3,0.4977606408202792,0.04474721609879695,0.7282531816939289,0.0030309155941689843,0.8402993295560172,0.013231985282591511,0.8986896972889621,0.013670549840573277,0.9341993631194123,0.006172750807745258
MCAR,0.5,mice,True,1,217.8,3,0.4716205996853488,0.0513628157880193,0.6998659305619465,0.02154776572890688,0.8207626916176052,0.015515755526563929,0.8870318243403762,0.007807790557133422,0.9241871736365895,0.0030297169133281206
MAR,0.1,mice,True,1,355.4,3,0.5141576447189166,0.034703747911001996,0.746533841130478,0.016117736853751816,0.8475378014316651,0.014073876780448958,0.9027201647871331,0.014687715807750499,0.9341637015695993,0.012810268542778261
MAR,0.3,mice,True,1,367.3,3,0.48933825660201097,0.05016722621628884,0.7163380436820845,0.01607831595038693,0.8246281007275799,0.00818970897160977,0.8983602757661263,0.010513569367883422,0.9338282983873399,0.004085770438642464
MAR,0.5,mice,True,1,356.4,3,0.4817979095271858,0.026582829439875423,0.7081707289895259,0.011806657707243465,0.8196695476368733,0.007281373065126537,0.8869552006701253,0.011096831664523018,0.9260551417045969,0.012073587398730103
MNAR,0.1,mice,True,1,353.2,3,0.501707064675602,0.03814667190865041,0.7316314688946509,0.014551364629871933,0.8387086909315116,0.00878627294422334,0.9006551106318387,0.017991641171727534,0.9353348933689972,0.013113317551352565
MNAR,0.3,mice,True,1,214.0,3,0.49376810654504616,0.04781359036887976,0.7207306414909805,0.012926791134570619,0.8285819445555002,0.006366050347399275,0.8970708170872408,0.013634464327429922,0.9325388397084543,0.009872208878151458
MNAR,0.5,mice,True,1,245.7,3,0.43045643785553395,0.047923710924176105,0.6802580456594849,0.03291832097432147,0.8028843673878442,0.006713679052899894,0.8680849018855583,0.004654262119938816,0.918844230317366,0.01293758399174401
MCAR-Row,0.1,mice,True,1,350.5,3,0.49514379023957017,0.02958985585536826,0.7345056606741949,0.019352782012788707,0.8138685573455641,0.01329635108314998,0.8741574063968568,0.007293747977853371,0.9087375483215977,0.010730711535357587
MCAR-Row,0.3,mice,True,1,344.1,3,0.3969685162512391,0.04952348982991949,0.6208807755356304,0.05816851661528809,0.7444204190469067,0.03624067311674303,0.8244532887228434,0.022332653284826316,0.8823818853326454,0.01127745593697184
MCAR-Row,0.5,mice,True,1,336.5,3,0.27560931714839715,0.07860528903447885,0.49923187879442893,0.07693893487585172,0.6684063439278408,0.060786322835267935,0.7630068637461437,0.048021278673308965,0.8251272001204382,0.031108794798128836
MCAR,0.1,hyperimpute,True,1,440.4,3,0.5109071637722518,0.03420946550151918,0.7295723202632037,0.01589164482041798,0.8415188273128743,0.002974420807120696,0.9019631192422176,0.006211660234587144,0.9366369964555289,0.007417813927890362
MCAR,0.3,hyperimpute,True,1,448.4,3,0.518155327293622,0.03221360772944719,0.731931134391521,0.007673070116950864,0.8310946871131177,0.008251066008213407,0.9030926678323791,0.010553426779512142,0.941040724223321,0.006771596667414472
MCAR,0.5,hyperimpute,True,1,408.0,3,0.49965609324112736,0.03653472019750735,0.7312008921106474,0.013663068689673473,0.8352277481856302,0.011289296606297218,0.8947863549560494,0.0021805861641312017,0.939055246500201,0.0044872499082960725
MAR,0.1,hyperimpute,True,1,453.6,3,0.49518475236000814,0.034271263454254845,0.7340848516714898,0.029568831141971397,0.8334089052702747,0.020385582858859958,0.8967265556192103,0.01709264748388633,0.9345592978925885,0.011554325365281021
MAR,0.3,hyperimpute,True,1,400.2,3,0.4884652919863092,0.04312566705526214,0.7151534502506655,0.017974118287194328,0.8255643635170878,0.016637708856657503,0.8907514963827811,0.012687755380882477,0.9314167110908901,0.0031665580691021974
MAR,0.5,hyperimpute,True,1,419.3,3,0.48175838571992163,0.030479015839579703,0.7045924171043518,0.01310812086239024,0.8246399879108509,0.0063230629224109245,0.8930351251540211,0.01048488137151661,0.9418207869104034,0.008798132969595862
MNAR,0.1,hyperimpute,True,1,432.2,3,0.5148975025099362,0.0294273940160788,0.7319720203763826,0.01253250257126858,0.8350492881654129,0.007863903481320883,0.8963115760047766,0.011114479785609314,0.9382261206312846,0.007992281938532735
MNAR,0.3,hyperimpute,True,1,438.7,3,0.5058029497495516,0.04338472182203371,0.7276449162788415,0.017322981028129278,0.8316107458531431,0.012219194969395678,0.8927555240373942,0.0035077355056203946,0.932241369749133,0.0037909500459424824
MNAR,0.5,hyperimpute,True,1,418.5,3,0.4928563753464552,0.04042841902462643,0.7087113193204684,0.02567642979711503,0.8235051387500644,0.014222510519638989,0.881175713072233,0.012481311803557644,0.9246094970880444,0.008703423850065261
MCAR-Row,0.1,hyperimpute,True,1,362.6,3,0.49890881547751037,0.04010619396457151,0.7248415187812774,0.024513757957713263,0.8190174434750005,0.010757434256292584,0.8750170455161138,0.006478677991512015,0.912776950241116,0.011517093740785439
MCAR-Row,0.3,hyperimpute,True,1,408.3,3,0.41242410906089616,0.025482720094806767,0.6095488283655519,0.03819534031740928,0.7542966250787,0.0271214872974977,0.8266500733604639,0.01743989483092851,0.8801882676989187,0.015744421027392756
MCAR-Row,0.5,hyperimpute,True,1,371.3,3,0.2892905868782825,0.04456255823700413,0.5079521998188469,0.057987791754925716,0.6622630592993209,0.046006334409541744,0.7677926480985099,0.03486320855483144,0.8384751240992188,0.015824170344162804
MCAR,0.1,diffputer,True,1,502.7,3,0.5043647870764144,0.025712038803221784,0.7391926995449122,0.006776742705884561,0.837054830268776,0.004793238149909844,0.897852318087497,0.010205400701043853,0.9358130188860848,0.0057532912153210256
MCAR,0.3,diffputer,True,1,496.8,3,0.4737630205705106,0.028893075329825945,0.6957894287794414,0.01889124991602094,0.8069959257669397,0.010866579007576399,0.8835211255685292,0.0054592474476101265,0.9241886119497632,0.006587557919409066
MCAR,0.5,diffputer,True,1,496.9,3,0.4481241982304109,0.04245261965275265,0.6797962745363421,0.030521779302111238,0.800147978050385,0.02662475498679029,0.867696120581944,0.02574791306205073,0.8994899004918642,0.024515198651374595
