mechanism,proportion,method,cached,n_folds,secs,n_runs,top1_acc,top1_acc_std,top2_acc,top2_acc_std,top3_acc,top3_acc_std,top4_acc,top4_acc_std,top5_acc,top5_acc_std
MCAR-Row,0.1,diffputer,True,1,417.0,3,0.3992038710633499,0.0092606946637884,0.6091883340164077,0.0187241835499524,0.7461986333882109,0.0196017036998577,0.843081035772256,0.0127261947654681,0.8922292189102764,0.0101334087882988
MCAR-Row,0.3,diffputer,True,1,430.2,3,0.356266859779888,0.0200770620136748,0.5570074744541772,0.0196400508239686,0.6947094734307235,0.0244977688366505,0.7820822653060752,0.0275902741871612,0.853385964790412,0.0190263152750712
MCAR-Row,0.5,diffputer,True,1,451.0,3,0.2581351259982726,0.012945916977399,0.4199265521417275,0.0540691641202828,0.5375293779855559,0.0545073543210011,0.627047775840471,0.0618383785675871,0.6916956104948006,0.0484751098107114
MCAR,0.1,grape,True,1,3560.9,3,0.3828313894658359,0.0259037649833007,0.6309415890393196,0.0346683536372308,0.7798377872096065,0.0269937803755905,0.8606370305021637,0.0294953323371161,0.8959677195273589,0.0292717100304527
MCAR,0.3,grape,True,1,2865.5,3,0.3999591313146749,0.0208153998311723,0.6194273868817309,0.0289408702646812,0.7719797115342312,0.0250224990295361,0.858910125940385,0.0244763471215837,0.9063055287342748,0.0258772475738123
MCAR,0.5,grape,True,1,2256.3,3,0.3857322556967242,0.0182758742292754,0.5901149301527541,0.045876474875081,0.7316189325053083,0.0621962254323288,0.8381710047676275,0.0420703370718618,0.882362036348817,0.0455893459128745
MAR,0.1,grape,True,1,3492.3,3,0.37268171514179,0.0248114555510284,0.5848636514144271,0.0316641243619996,0.7502783238513353,0.0443699689531563,0.8374463670864679,0.0410811078068526,0.891789330610298,0.0260726787990488
MAR,0.3,grape,True,1,2900.9,3,0.3961783148208608,0.0215305549221606,0.61760404148461,0.0328810490232885,0.7684059591868868,0.0374191586681374,0.8534989036077903,0.0276363512625739,0.8923798425918851,0.0269425131327913
MAR,0.5,grape,True,1,2329.3,3,0.3807045390869032,0.0289924308684968,0.5902843094349933,0.0408461669932969,0.7395593244278963,0.0386620824014527,0.8296188560936021,0.0331084281418796,0.8766590023409768,0.0227849999673546
MNAR,0.1,grape,True,1,3639.2,3,0.3944114098886009,0.0141921883080625,0.6293605034836792,0.0269113280146403,0.77188558620514,0.0306407382501935,0.8560633267804506,0.0388939886223124,0.8985157026056392,0.0260183905259247
MNAR,0.3,grape,True,1,2777.4,3,0.3822642640973809,0.0296174947575901,0.6038664323374342,0.0411893829124275,0.7672083214663638,0.0427586112477486,0.8633308325865826,0.0333227337635726,0.9086488210599925,0.0253377663663248
MNAR,0.5,grape,True,1,2257.8,3,0.3690491489356775,0.0152275211267216,0.5935592457006837,0.0378561253667906,0.736291334680958,0.0411899743420394,0.8346206969210713,0.0346114127242061,0.88679212079533,0.0204179084928495
MCAR-Row,0.1,grape,True,1,3533.9,3,0.3749144999316925,0.0268218301837838,0.5835508751455875,0.0377063545929667,0.736691338385768,0.0279998771299134,0.83258797187123,0.0369413398397903,0.8802868796469316,0.0312611036573168
MCAR-Row,0.3,grape,True,1,2784.1,3,0.2644686144705248,0.0415446573085813,0.4589887373775965,0.0316801899634898,0.5921641531846316,0.0337490094868767,0.7208740572995177,0.0333757985431451,0.7964267686415619,0.033709846904644
MCAR-Row,0.5,grape,True,1,2267.2,3,0.0528114298019547,0.0383327804436236,0.2630309166394595,0.0801946727260506,0.4753093516350947,0.0402537649469401,0.6391641832862128,0.0125636401428538,0.7282331992655214,0.0267523695664603
